Item_Weight,Item_Fat_Content,Item_Visibility,Item_Type,Item_MRP,Outlet_Size,Outlet_Location_Type,Outlet_Type,Item_Category,Outlet_Age,Item_Outlet_Sales
16.85,Low Fat,0.139985583,Snack Foods,145.276,Medium,Tier 3,Supermarket Type2,Foods,4.0,2490.092
11.5,Low Fat,0.171779865,Snack Foods,126.0704,Medium,Tier 3,Supermarket Type2,Foods,4.0,1627.2152
6.78,Regular,0.1867,Baking Goods,92.812,Small,Tier 1,Grocery Store,Foods,28.0,93.212
19.1,Low Fat,0.038377013,Fruits and Vegetables,211.5586,Medium,Tier 3,Supermarket Type3,Foods,28.0,4432.2306
17.35,Regular,0.06612697072361393,Seafood,150.205,Small,Tier 2,Supermarket Type1,Foods,11.0,5992.2
12.1,Low Fat,0.011539622,Dairy Drinks,163.5526,Small,Tier 1,Supermarket Type1,Drinks,16.0,2302.3364
20.75,Regular,0.129337594,Seafood,238.188,Small,Tier 1,Supermarket Type1,Foods,16.0,5033.448
19.25,Regular,0.034693175,Canned,140.1496,Small,Tier 2,Supermarket Type1,Foods,9.0,1552.6456
7.075,Low Fat,0.05858462,Dairy Foods,142.7128,Medium,Tier 3,Supermarket Type2,Foods,4.0,1869.5664
6.675,Low Fat,0.041986639,Snack Foods,93.2462,Medium,Tier 1,Supermarket Type1,Foods,14.0,1480.7392
16.75,Non Edible,0.032586709,Health and Hygiene,191.9162,Small,Tier 1,Supermarket Type1,Non Consumables,16.0,4040.7402
17.7,Non Edible,0.012593467,Household,167.6474,Medium,Tier 3,Supermarket Type2,Non Consumables,4.0,3874.2902
6.235,Non Edible,0.119345629,Household,261.991,Small,Tier 2,Supermarket Type1,Non Consumables,6.0,2366.919
20.75,Low Fat,0.06612697072361393,Soft Drinks,153.8024,Medium,Tier 3,Supermarket Type3,Drinks,28.0,7741.9224
18.5,Non Edible,0.034082974,Others,130.9284,Medium,Tier 3,Supermarket Type2,Non Consumables,4.0,1977.426
13.15,Low Fat,0.036494521,Frozen Foods,179.0976,Medium,Tier 3,Supermarket Type3,Foods,28.0,5976.2208
7.075,Low Fat,0.022548195,Frozen Foods,95.7068,High,Tier 3,Supermarket Type1,Foods,26.0,583.2408
20.6,Regular,0.048131556,Fruits and Vegetables,187.1556,Medium,Tier 3,Supermarket Type2,Foods,4.0,4693.89
17.25,Regular,0.079113947,Snack Foods,99.2068,Small,Tier 3,Grocery Store,Foods,15.0,97.2068
16.7,Low Fat,0.101561568,Canned,181.9292,Medium,Tier 3,Supermarket Type3,Foods,28.0,3101.2964
15.2,Non Edible,0.06612697072361393,Household,110.4912,Small,Tier 2,Supermarket Type1,Non Consumables,6.0,1637.868
7.97,Low Fat,0.036045991,Seafood,107.5596,Small,Tier 3,Grocery Store,Foods,15.0,431.4384
6.76,Regular,0.028958563,Fruits and Vegetables,78.396,High,Tier 3,Supermarket Type1,Foods,26.0,1757.712
17.25,Low Fat,0.035057688,Dairy Drinks,91.612,Small,Tier 2,Supermarket Type1,Drinks,9.0,279.636
19.1,Regular,0.025872153,Fruits and Vegetables,145.7418,Small,Tier 1,Supermarket Type1,Foods,16.0,882.8508
11.3,Low Fat,0.007279889,Meat,199.3426,Small,Tier 1,Supermarket Type1,Foods,16.0,2372.9112
5.095,Regular,0.128876537,Snack Foods,139.1838,Medium,Tier 3,Supermarket Type3,Foods,28.0,4916.933
7.93,Low Fat,0.06612697072361393,Frozen Foods,121.8414,Small,Tier 1,Supermarket Type1,Foods,16.0,2802.3522
15.35,Regular,0.113195815,Fruits and Vegetables,190.8504,Small,Tier 2,Supermarket Type1,Foods,9.0,3643.2576
7.235,Low Fat,0.167316771,Snack Foods,197.5452,Small,Tier 3,Grocery Store,Foods,15.0,195.7452
6.32,Low Fat,0.012656359,Meat,37.8822,Medium,Tier 3,Supermarket Type3,Foods,28.0,1021.3372
19.0,Low Fat,0.128814669,Snack Foods,107.6622,Small,Tier 2,Supermarket Type1,Foods,6.0,1164.4842
17.6,Low Fat,0.105472205,Snack Foods,165.6868,Small,Tier 2,Supermarket Type1,Foods,6.0,3111.9492
11.15,Non Edible,0.07366703,Others,66.2142,Medium,Tier 3,Supermarket Type2,Non Consumables,4.0,131.8284
9.13,Non Edible,0.052058629,Household,150.6024,Medium,Tier 3,Supermarket Type2,Non Consumables,4.0,1821.6288
14.15,Low Fat,0.020798905,Fruits and Vegetables,123.6046,Medium,Tier 3,Supermarket Type2,Foods,4.0,1245.046
7.72,Regular,0.088543868,Fruits and Vegetables,117.5466,Small,Tier 2,Supermarket Type1,Foods,11.0,824.9262
14.85,Regular,0.016635488,Snack Foods,157.563,Small,Tier 3,Grocery Store,Foods,15.0,312.926
19.85,Low Fat,0.175995526,Fruits and Vegetables,224.0772,Small,Tier 1,Supermarket Type1,Foods,16.0,1556.6404
12.35,Regular,0.033760862,Meat,196.9426,Small,Tier 1,Supermarket Type1,Foods,16.0,5141.3076
17.25,Low Fat,0.037155206,Soft Drinks,166.4526,High,Tier 3,Supermarket Type1,Drinks,26.0,3782.4098
8.42,Non Edible,0.070712031,Household,216.4192,Small,Tier 2,Supermarket Type1,Non Consumables,11.0,3020.0688
18.2,Regular,0.043626605,Baking Goods,241.4196,Small,Tier 3,Grocery Store,Foods,15.0,482.0392
10.65,Low Fat,0.024107056,Fruits and Vegetables,56.6272,Small,Tier 2,Supermarket Type1,Foods,6.0,447.4176
9.21,Low Fat,0.008778413,Fruits and Vegetables,122.4414,Medium,Tier 1,Supermarket Type1,Foods,14.0,1583.9382
9.5,Low Fat,0.142425145,Hard Drinks,189.9872,Small,Tier 3,Grocery Store,Drinks,15.0,756.3488
4.785,Low Fat,0.092145264,Breads,120.7098,Medium,Tier 3,Supermarket Type3,Foods,28.0,3735.8038
8.42,Non Edible,0.112728355,Health and Hygiene,65.8168,Medium,Tier 3,Supermarket Type2,Non Consumables,4.0,830.9184
11.8,Regular,0.1867,Dairy Foods,220.4772,Small,Tier 1,Grocery Store,Foods,28.0,444.7544
15.1,Regular,0.087406863,Fruits and Vegetables,221.8456,Small,Tier 1,Supermarket Type1,Foods,16.0,663.1368
5.985,Low Fat,0.095331433,Frozen Foods,125.5678,Medium,Tier 3,Supermarket Type3,Foods,28.0,2543.356
9.1,Non Edible,0.06612697072361393,Household,115.4518,Small,Tier 2,Supermarket Type1,Non Consumables,6.0,2390.8878
19.6,Non Edible,0.083862625,Health and Hygiene,44.077,Small,Tier 1,Grocery Store,Non Consumables,28.0,216.385
7.405,Low Fat,0.159843921,Dairy Foods,206.6296,Medium,Tier 3,Supermarket Type2,Foods,4.0,3115.944
18.0,Regular,0.142688846,Fruits and Vegetables,88.5514,Small,Tier 1,Supermarket Type1,Foods,16.0,796.9626
15.5,Regular,0.100922503,Fruits and Vegetables,199.0768,Medium,Tier 1,Supermarket Type1,Foods,14.0,2759.0752
10.695,Low Fat,0.057909547,Fruits and Vegetables,60.4536,Small,Tier 2,Supermarket Type1,Foods,11.0,183.7608
5.655,Low Fat,0.06612697072361393,Soft Drinks,147.5102,Small,Tier 1,Supermarket Type1,Drinks,16.0,1166.4816
18.0,Low Fat,0.008589133,Baking Goods,81.0618,Small,Tier 2,Supermarket Type1,Foods,6.0,1450.1124
7.825,Regular,0.150015234,Frozen Foods,157.5288,Small,Tier 1,Supermarket Type1,Foods,16.0,942.7728
10.895,Low Fat,0.136810742,Dairy Foods,263.0568,Small,Tier 1,Supermarket Type1,Foods,16.0,527.3136
15.2,Low Fat,0.019018943,Snack Foods,238.7248,High,Tier 3,Supermarket Type1,Foods,26.0,1659.1736
8.5,Low Fat,0.098438394,Canned,51.1324,Small,Tier 2,Supermarket Type1,Foods,6.0,259.662
14.6,Non Edible,0.05911748,Household,181.5976,Medium,Tier 3,Supermarket Type3,Non Consumables,28.0,4165.2448
20.75,Low Fat,0.149404057,Breakfast,192.8478,Small,Tier 3,Grocery Store,Foods,15.0,774.9912
14.75,Non Edible,0.033024328,Health and Hygiene,236.6906,Medium,Tier 3,Supermarket Type2,Non Consumables,4.0,3089.9778
9.8,Non Edible,0.02426524,Health and Hygiene,114.0492,Medium,Tier 3,Supermarket Type3,Non Consumables,28.0,3938.8728
18.7,Low Fat,0.06612697072361393,Snack Foods,256.6672,Medium,Tier 3,Supermarket Type2,Foods,4.0,3068.0064
11.15,Non Edible,0.073354286,Others,66.8142,Small,Tier 2,Supermarket Type1,Non Consumables,9.0,2372.9112
8.395,Low Fat,0.07226985,Hard Drinks,254.104,Medium,Tier 3,Supermarket Type2,Drinks,4.0,3542.056
9.395,Regular,0.100966837,Baking Goods,86.8856,Small,Tier 2,Supermarket Type1,Foods,6.0,2548.6824
12.35,Regular,0.033597374,Meat,197.2426,Medium,Tier 3,Supermarket Type3,Foods,28.0,3163.8816
6.055,Low Fat,0.031103357,Fruits and Vegetables,159.9578,Small,Tier 1,Supermarket Type1,Foods,16.0,2727.7826
7.565,Non Edible,0.054863459,Health and Hygiene,58.393,Medium,Tier 3,Supermarket Type2,Non Consumables,4.0,509.337
20.0,Regular,0.059889718,Baking Goods,168.5132,Small,Tier 2,Supermarket Type1,Foods,9.0,2874.9244
17.0,Low Fat,0.118806857,Frozen Foods,248.8434,Medium,Tier 3,Supermarket Type3,Foods,28.0,6705.2718
10.3,Regular,0.011117041,Snack Foods,85.854,High,Tier 3,Supermarket Type1,Foods,26.0,2683.174
10.8,Low Fat,0.097937252,Meat,98.9042,Medium,Tier 3,Supermarket Type3,Foods,28.0,4960.21
19.85,Non Edible,0.025842951,Household,48.6376,Medium,Tier 3,Supermarket Type3,Non Consumables,28.0,1677.816
20.25,Regular,0.022639471,Dairy Foods,248.4092,Small,Tier 2,Supermarket Type1,Foods,6.0,2241.0828
15.6,Regular,0.099344826,Dairy Foods,63.6194,Small,Tier 2,Supermarket Type1,Foods,11.0,743.0328
12.1,Non Edible,0.015359722,Household,163.7526,Medium,Tier 3,Supermarket Type3,Non Consumables,28.0,1973.4312
13.5,Regular,0.06612697072361393,Snack Foods,262.891,Small,Tier 1,Grocery Store,Foods,28.0,788.973
14.5,Regular,0.128520186,Baking Goods,101.4332,Small,Tier 2,Supermarket Type1,Foods,11.0,1948.1308
10.8,Low Fat,0.082549896,Dairy Foods,193.7504,Small,Tier 1,Supermarket Type1,Foods,16.0,4602.0096
16.75,Low Fat,0.045138797,Snack Foods,187.9556,Small,Tier 2,Supermarket Type1,Foods,11.0,2816.334
18.35,Non Edible,0.088551694,Household,191.5504,Medium,Tier 3,Supermarket Type3,Non Consumables,28.0,5944.2624
15.75,Low Fat,0.141398626,Hard Drinks,250.5382,Small,Tier 2,Supermarket Type1,Drinks,6.0,2775.7202
10.5,Regular,0.084404264,Dairy Foods,49.5376,Small,Tier 1,Grocery Store,Foods,28.0,143.8128
18.85,Regular,0.067953506,Dairy Foods,119.044,Small,Tier 1,Supermarket Type1,Foods,16.0,2396.88
10.65,Non Edible,0.048686689,Others,164.1526,Small,Tier 1,Supermarket Type1,Non Consumables,16.0,1808.9786
18.25,Low Fat,0.079342006,Frozen Foods,226.0062,Medium,Tier 1,Supermarket Type1,Foods,14.0,1805.6496
11.3,Low Fat,0.007278512,Meat,196.7426,Small,Tier 2,Supermarket Type1,Foods,9.0,2768.3964
7.445,Low Fat,0.037690731,Baking Goods,73.3354,Medium,Tier 1,Supermarket Type1,Foods,14.0,451.4124
17.75,Non Edible,0.097692448,Health and Hygiene,242.4196,Small,Tier 2,Supermarket Type1,Non Consumables,9.0,5543.4508
8.92,Non Edible,0.130191993,Household,176.837,Small,Tier 2,Supermarket Type1,Non Consumables,11.0,2117.244
6.985,Regular,0.137926458,Meat,184.7608,Medium,Tier 3,Supermarket Type2,Foods,4.0,4042.7376
6.11,Regular,0.103080901,Fruits and Vegetables,131.2968,Medium,Tier 1,Supermarket Type1,Foods,14.0,1957.452
6.325,Low Fat,0.125688044,Frozen Foods,100.9042,Medium,Tier 3,Supermarket Type2,Foods,4.0,2083.2882
14.35,Low Fat,0.081050006,Baking Goods,79.196,Small,Tier 2,Supermarket Type1,Foods,6.0,1278.336
9.3,Low Fat,0.042930789,Fruits and Vegetables,88.5172,High,Tier 3,Supermarket Type1,Foods,26.0,1427.4752
18.7,Low Fat,0.014522363,Soft Drinks,50.2324,Medium,Tier 3,Supermarket Type3,Drinks,28.0,1298.31
11.3,Low Fat,0.056387854,Baking Goods,245.4118,High,Tier 3,Supermarket Type1,Foods,26.0,6669.3186
20.2,Low Fat,0.064728148,Snack Foods,258.0646,Small,Tier 2,Supermarket Type1,Foods,6.0,5668.6212
12.3,Low Fat,0.069742672,Soft Drinks,106.2938,Medium,Tier 3,Supermarket Type2,Drinks,4.0,1715.1008
17.35,Regular,0.062839798,Baking Goods,90.883,Small,Tier 2,Supermarket Type1,Foods,9.0,1707.777
19.0,Regular,0.097294728,Frozen Foods,47.7718,Small,Tier 2,Supermarket Type1,Foods,9.0,1039.9796
20.25,Regular,0.133347119,Dairy Foods,193.0794,Small,Tier 1,Grocery Store,Foods,28.0,975.397
12.65,Low Fat,0.06612697072361393,Meat,109.1938,Medium,Tier 3,Supermarket Type3,Foods,28.0,2036.6822
16.6,Low Fat,0.122475364,Fruits and Vegetables,175.5738,Small,Tier 2,Supermarket Type1,Foods,11.0,347.5476
17.85,Non Edible,0.01806055,Health and Hygiene,97.0094,Small,Tier 2,Supermarket Type1,Non Consumables,11.0,2094.6068
6.98,Low Fat,0.041105789,Canned,83.4934,Small,Tier 1,Supermarket Type1,Foods,16.0,1555.9746
9.5,Low Fat,0.074460855,Snack Foods,253.6724,Medium,Tier 1,Supermarket Type1,Foods,14.0,5033.448
15.6,Low Fat,0.042179884,Snack Foods,174.7054,Small,Tier 3,Grocery Store,Foods,15.0,175.1054
11.65,Regular,0.076278201,Snack Foods,85.1908,Small,Tier 2,Supermarket Type1,Foods,6.0,671.1264
17.6,Regular,0.047524635,Snack Foods,118.2782,Small,Tier 2,Supermarket Type1,Foods,6.0,715.0692
18.25,Low Fat,0.054223942,Snack Foods,142.0154,Small,Tier 2,Supermarket Type1,Foods,9.0,2127.231
18.85,Low Fat,0.042736348,Canned,255.933,Small,Tier 2,Supermarket Type1,Foods,11.0,3844.995
16.2,Low Fat,0.033373748,Soft Drinks,74.0696,Small,Tier 2,Supermarket Type1,Drinks,9.0,894.8352
11.6,Non Edible,0.037734334,Health and Hygiene,98.1042,Medium,Tier 3,Supermarket Type2,Non Consumables,4.0,2678.5134
17.6,Low Fat,0.058091269,Meat,156.2314,Small,Tier 1,Supermarket Type1,Foods,16.0,2947.4966
19.75,Non Edible,0.01433033,Household,104.2332,Small,Tier 2,Supermarket Type1,Non Consumables,11.0,2153.1972
8.93,Non Edible,0.06612697072361393,Household,53.8614,High,Tier 3,Supermarket Type1,Non Consumables,26.0,994.7052
12.3,Low Fat,0.009463757,Baking Goods,73.838,Small,Tier 2,Supermarket Type1,Foods,6.0,1245.046
13.5,Non Edible,0.054723717,Health and Hygiene,36.6874,Medium,Tier 3,Supermarket Type3,Non Consumables,28.0,1058.622
8.27,Non Edible,0.018813601,Health and Hygiene,237.988,Small,Tier 1,Supermarket Type1,Non Consumables,16.0,7190.64
20.0,Regular,0.028282832,Fruits and Vegetables,46.2744,Small,Tier 2,Supermarket Type1,Foods,6.0,1086.5856
12.3,Non Edible,0.052502049,Household,190.853,Small,Tier 1,Supermarket Type1,Non Consumables,16.0,4364.319
7.36,Low Fat,0.052607932,Frozen Foods,56.3588,Small,Tier 2,Supermarket Type1,Foods,6.0,744.3644
13.0,Regular,0.044767032,Soft Drinks,173.7054,Medium,Tier 3,Supermarket Type3,Drinks,28.0,5778.4782
19.7,Low Fat,0.041703666,Frozen Foods,109.1912,High,Tier 3,Supermarket Type1,Foods,26.0,1637.868
8.115,Regular,0.032208865,Canned,154.9972,Medium,Tier 1,Supermarket Type1,Foods,14.0,3739.1328
10.895,Low Fat,0.136696892,Dairy Foods,264.5568,High,Tier 3,Supermarket Type1,Foods,26.0,5536.7928
7.96,Low Fat,0.028478742,Canned,161.8894,Medium,Tier 3,Supermarket Type2,Foods,4.0,2750.4198
20.85,Low Fat,0.03747983,Frozen Foods,192.7478,Small,Tier 2,Supermarket Type1,Foods,11.0,2131.2258
19.7,Low Fat,0.024635077,Soft Drinks,84.1592,High,Tier 3,Supermarket Type1,Drinks,26.0,1073.2696
13.1,Non Edible,0.012089479,Others,189.853,High,Tier 3,Supermarket Type1,Non Consumables,26.0,3415.554
7.39,Non Edible,0.120770963,Others,143.447,Medium,Tier 3,Supermarket Type2,Non Consumables,4.0,2290.352
10.6,Non Edible,0.035022503,Health and Hygiene,85.1224,Medium,Tier 3,Supermarket Type3,Non Consumables,28.0,2045.3376
17.6,Regular,0.076121831,Meat,111.7202,Small,Tier 1,Supermarket Type1,Foods,16.0,1125.202
19.1,Low Fat,0.045270426,Dairy Drinks,38.8138,High,Tier 3,Supermarket Type1,Drinks,26.0,731.0484
19.5,Regular,0.027214272,Canned,159.692,Medium,Tier 3,Supermarket Type3,Foods,28.0,3515.424
5.325,Regular,0.139244918,Dairy Foods,53.0298,Medium,Tier 3,Supermarket Type2,Foods,4.0,377.5086
9.195,Low Fat,0.115353642,Frozen Foods,58.9246,Medium,Tier 3,Supermarket Type2,Foods,4.0,926.7936
9.3,Non Edible,0.044730667,Household,245.1802,Medium,Tier 1,Supermarket Type1,Non Consumables,14.0,2456.802
8.93,Low Fat,0.028411899,Dairy Drinks,152.334,Small,Tier 2,Supermarket Type1,Drinks,9.0,2143.876
20.6,Non Edible,0.071282168,Household,74.4696,Medium,Tier 3,Supermarket Type2,Non Consumables,4.0,223.7088
12.6,Low Fat,0.056394771,Seafood,51.3982,Small,Tier 2,Supermarket Type1,Foods,6.0,473.3838
15.5,Regular,0.026280116,Fruits and Vegetables,102.3332,High,Tier 3,Supermarket Type1,Foods,26.0,922.7988
8.6,Non Edible,0.090374342,Household,114.3176,Small,Tier 2,Supermarket Type1,Non Consumables,11.0,1946.7992
12.3,Low Fat,0.110735739,Baking Goods,35.2874,Medium,Tier 3,Supermarket Type3,Foods,28.0,988.0472
15.5,Regular,0.101176316,Fruits and Vegetables,198.9768,Medium,Tier 3,Supermarket Type2,Foods,4.0,4729.8432
16.2,Regular,0.016747538,Frozen Foods,98.6726,Small,Tier 2,Supermarket Type1,Foods,6.0,1272.3438
20.35,Low Fat,0.089975294,Dairy Foods,261.6594,Small,Tier 2,Supermarket Type1,Foods,6.0,7588.1226
9.3,Regular,0.033505804,Meat,153.4314,Small,Tier 2,Supermarket Type1,Foods,11.0,2482.1024
19.7,Regular,0.16102755,Canned,254.1014,Small,Tier 2,Supermarket Type1,Foods,11.0,4845.0266
11.6,Regular,0.009818244,Snack Foods,223.1404,Small,Tier 2,Supermarket Type1,Foods,6.0,5175.9292
12.5,Low Fat,0.020729902,Breads,197.2742,Medium,Tier 1,Supermarket Type1,Foods,14.0,3782.4098
14.3,Regular,0.04975339,Meat,210.3586,Medium,Tier 1,Supermarket Type1,Foods,14.0,6331.758
8.3,Low Fat,0.03532494,Fruits and Vegetables,38.9506,High,Tier 3,Supermarket Type1,Foods,26.0,721.0614
19.0,Regular,0.066005186,Fruits and Vegetables,188.4214,Small,Tier 2,Supermarket Type1,Foods,6.0,2826.321
17.75,Regular,0.029648306,Fruits and Vegetables,142.4838,Small,Tier 2,Supermarket Type1,Foods,9.0,1264.3542
16.7,Low Fat,0.070154899,Dairy Foods,218.185,Small,Tier 1,Supermarket Type1,Foods,16.0,5193.24
17.75,Regular,0.067639698,Baking Goods,187.624,Small,Tier 2,Supermarket Type1,Foods,11.0,1491.392
14.85,Regular,0.035311852,Fruits and Vegetables,160.9578,Medium,Tier 1,Supermarket Type1,Foods,14.0,4813.734
6.035,Regular,0.065771344,Baking Goods,185.324,Small,Tier 2,Supermarket Type1,Foods,9.0,3728.48
7.63,Regular,0.134919202,Snack Foods,46.9402,Medium,Tier 1,Supermarket Type1,Foods,14.0,780.9834
13.1,Low Fat,0.075731322,Dairy Foods,167.5158,Small,Tier 2,Supermarket Type1,Foods,11.0,1504.0422
10.6,Low Fat,0.011111714,Breads,43.8454,Small,Tier 2,Supermarket Type1,Foods,11.0,671.1264
10.5,Regular,0.142827296,Breads,159.4578,Small,Tier 2,Supermarket Type1,Foods,11.0,3048.6982
7.945,Low Fat,0.015873285,Snack Foods,161.321,Small,Tier 2,Supermarket Type1,Foods,9.0,2773.057
7.55,Low Fat,0.0273235,Canned,151.934,Small,Tier 2,Supermarket Type1,Foods,6.0,1837.608
18.1,Low Fat,0.17824575,Dairy Foods,158.1288,Medium,Tier 1,Supermarket Type1,Foods,14.0,3299.7048
8.365,Low Fat,0.071832909,Hard Drinks,36.1506,Small,Tier 2,Supermarket Type1,Drinks,9.0,721.0614
15.7,Low Fat,0.037289996,Soft Drinks,182.7634,Medium,Tier 1,Supermarket Type1,Drinks,14.0,3453.5046
15.1,Low Fat,0.166609517,Baking Goods,157.6604,Small,Tier 1,Grocery Store,Foods,28.0,316.9208
16.7,Non Edible,0.026598474,Household,245.8776,High,Tier 3,Supermarket Type1,Non Consumables,26.0,4210.5192
8.6,Non Edible,0.069524391,Household,91.8146,Medium,Tier 1,Supermarket Type1,Non Consumables,14.0,2371.5796
8.71,Regular,0.046079575,Dairy Foods,43.5744,Small,Tier 2,Supermarket Type1,Foods,11.0,407.4696
12.35,Low Fat,0.099674817,Fruits and Vegetables,112.2518,High,Tier 3,Supermarket Type1,Foods,26.0,1366.2216
7.68,Low Fat,0.070900282,Fruits and Vegetables,192.6162,Small,Tier 1,Supermarket Type1,Foods,16.0,5580.0698
17.7,Regular,0.122372504,Meat,101.5674,Medium,Tier 3,Supermarket Type2,Foods,4.0,1629.8784
7.63,Regular,0.134684292,Snack Foods,47.0402,Small,Tier 2,Supermarket Type1,Foods,9.0,1470.0864
19.35,Non Edible,0.06612697072361393,Health and Hygiene,65.3168,Small,Tier 3,Grocery Store,Non Consumables,15.0,191.7504
18.25,Low Fat,0.012325122,Fruits and Vegetables,162.8894,Medium,Tier 3,Supermarket Type2,Foods,4.0,647.1576
18.35,Regular,0.094296835,Fruits and Vegetables,84.3882,Small,Tier 1,Supermarket Type1,Foods,16.0,1116.5466
19.6,Regular,0.127929521,Snack Foods,167.4816,High,Tier 3,Supermarket Type1,Foods,26.0,3691.1952
18.85,Low Fat,0.142443405,Canned,170.4132,Small,Tier 2,Supermarket Type1,Foods,6.0,4396.9432
12.65,Non Edible,0.042175992,Household,106.4938,High,Tier 3,Supermarket Type1,Non Consumables,26.0,2465.4574
13.65,Low Fat,0.015908424,Breads,231.1668,Small,Tier 2,Supermarket Type1,Foods,9.0,6911.004
10.8,Low Fat,0.029001987,Snack Foods,238.6222,Small,Tier 2,Supermarket Type1,Foods,11.0,8604.7992
15.0,Low Fat,0.058485617,Snack Foods,44.7744,Medium,Tier 1,Supermarket Type1,Foods,14.0,679.116
16.75,Low Fat,0.105018817,Snack Foods,155.263,Medium,Tier 1,Supermarket Type1,Foods,14.0,1721.093
21.1,Regular,0.16216286,Fruits and Vegetables,62.2168,Medium,Tier 3,Supermarket Type2,Foods,4.0,383.5008
13.15,Low Fat,0.043852434,Snack Foods,182.695,Small,Tier 2,Supermarket Type1,Foods,11.0,4211.185
17.75,Non Edible,0.1867,Others,110.2912,Small,Tier 1,Grocery Store,Non Consumables,28.0,218.3824
9.0,Non Edible,0.032072321,Household,102.2016,Medium,Tier 1,Supermarket Type1,Non Consumables,14.0,1416.8224
18.75,Non Edible,0.010365546,Household,207.0954,Small,Tier 1,Supermarket Type1,Non Consumables,16.0,3125.931
15.2,Non Edible,0.169943195,Health and Hygiene,116.2492,Small,Tier 1,Grocery Store,Non Consumables,28.0,115.8492
9.8,Regular,0.072863893,Snack Foods,118.6098,Small,Tier 2,Supermarket Type1,Foods,9.0,843.5686
7.35,Regular,0.014353174,Fruits and Vegetables,242.6512,High,Tier 3,Supermarket Type1,Foods,26.0,969.4048
20.5,Low Fat,0.036353098,Frozen Foods,75.8696,Small,Tier 1,Supermarket Type1,Foods,16.0,2386.2272
16.7,Regular,0.120137953,Fruits and Vegetables,181.2976,Small,Tier 2,Supermarket Type1,Foods,6.0,3078.6592
13.0,Low Fat,0.154244343,Canned,77.9986,Medium,Tier 3,Supermarket Type2,Foods,4.0,1168.479
7.42,Regular,0.025616191,Snack Foods,188.1872,Medium,Tier 3,Supermarket Type3,Foods,28.0,6239.8776
10.195,Low Fat,0.107834541,Snack Foods,146.5076,Medium,Tier 3,Supermarket Type2,Foods,4.0,1330.2684
9.0,Non Edible,0.032152981,Household,102.0016,Medium,Tier 3,Supermarket Type2,Non Consumables,4.0,1518.024
10.6,Non Edible,0.035163639,Health and Hygiene,84.4224,High,Tier 3,Supermarket Type1,Non Consumables,26.0,852.224
16.0,Regular,0.099188598,Frozen Foods,88.9856,High,Tier 3,Supermarket Type1,Foods,26.0,1669.8264
9.195,Regular,0.117484834,Snack Foods,158.5578,Small,Tier 1,Supermarket Type1,Foods,16.0,2406.867
9.6,Non Edible,0.011211251,Household,166.9184,Small,Tier 3,Grocery Store,Non Consumables,15.0,660.4736
16.1,Low Fat,0.034300475,Fruits and Vegetables,253.2356,Small,Tier 2,Supermarket Type1,Foods,9.0,5849.7188
20.1,Low Fat,0.074931201,Dairy Foods,108.9228,Medium,Tier 3,Supermarket Type2,Foods,4.0,1105.228
19.85,Regular,0.020961192,Snack Foods,62.0194,Medium,Tier 3,Supermarket Type2,Foods,4.0,619.194
4.555,Regular,0.060154968,Frozen Foods,110.1544,Small,Tier 1,Grocery Store,Foods,28.0,111.8544
14.85,Low Fat,0.018568129,Canned,188.2214,Small,Tier 2,Supermarket Type1,Foods,9.0,3014.7424
9.3,Regular,0.03362713,Meat,156.1314,Small,Tier 2,Supermarket Type1,Foods,6.0,620.5256
19.2,Non Edible,0.18293775,Others,243.0196,Medium,Tier 1,Supermarket Type1,Non Consumables,14.0,3615.294
20.1,Regular,0.022425236,Fruits and Vegetables,226.3036,Small,Tier 1,Supermarket Type1,Foods,16.0,910.8144
9.31,Low Fat,0.038014104,Frozen Foods,62.351,Medium,Tier 1,Supermarket Type1,Foods,14.0,822.263
20.5,Low Fat,0.142370445,Starchy Foods,90.6172,Medium,Tier 3,Supermarket Type2,Foods,4.0,1427.4752
18.2,Low Fat,0.161458973,Fruits and Vegetables,37.819,Small,Tier 2,Supermarket Type1,Foods,9.0,256.333
17.75,Non Edible,0.097909084,Health and Hygiene,242.1196,Small,Tier 2,Supermarket Type1,Non Consumables,11.0,4097.3332
12.15,Regular,0.058756205,Fruits and Vegetables,161.0552,Small,Tier 2,Supermarket Type1,Foods,6.0,3411.5592
20.6,Regular,0.047936284,Fruits and Vegetables,185.7556,Small,Tier 1,Supermarket Type1,Foods,16.0,3942.8676
12.35,Low Fat,0.100322104,Fruits and Vegetables,113.7518,Small,Tier 2,Supermarket Type1,Foods,6.0,2049.3324
17.25,Low Fat,0.084809658,Soft Drinks,261.191,Small,Tier 2,Supermarket Type1,Drinks,6.0,3155.892
16.6,Low Fat,0.103406065,Fruits and Vegetables,116.4466,Medium,Tier 3,Supermarket Type2,Foods,4.0,1178.466
9.3,Low Fat,0.026818196,Dairy Foods,248.9092,Small,Tier 3,Grocery Store,Foods,15.0,498.0184
15.75,Non Edible,0.13504726,Household,98.57,Small,Tier 2,Supermarket Type1,Non Consumables,9.0,2496.75
6.985,Regular,0.13725257,Meat,183.7608,High,Tier 3,Supermarket Type1,Foods,26.0,2940.1728
12.5,Regular,0.081684728,Fruits and Vegetables,92.3488,High,Tier 3,Supermarket Type1,Foods,26.0,1177.1344
15.85,Low Fat,0.107076832,Soft Drinks,58.7904,Medium,Tier 3,Supermarket Type3,Drinks,28.0,1288.9888
